store_name,data_date,weekday,total_revenue,actual_amount,supermarket_revenue,room_revenue,stored_card_sales,customers
上东店,2026-05-01,五,37720.92,28309.82,8461.48,838.34,18814.0,291
上东店,2026-05-02,六,42833.11,34166.61,7568.11,1350.5,19298.0,304
上东店,2026-05-03,日,44157.43,35021.93,8424.69,577.24,25628.0,280
上东店,2026-05-04,一,45159.08,35919.98,10092.0,1189.98,24442.0,322
上东店,2026-05-05,二,28368.8,21167.2,6134.34,1306.86,13628.0,238
上东店,2026-05-06,三,20111.97,15276.97,3768.6,518.37,10500.0,172
上东店,2026-05-07,四,29620.17,25291.27,3264.61,424.66,20112.0,172
上东店,2026-05-08,五,35326.74,30031.54,6245.76,595.78,22798.0,203
上东店,2026-05-09,六,44798.09,35446.49,7518.66,2004.23,25628.0,293
上东店,2026-05-11,一,28234.01,23370.91,4231.65,1034.11,15514.0,199
上东店,2026-05-12,二,19976.58,15171.28,4501.38,471.9,10000.0,190
上东店,2026-05-13,三,37633.21,32425.31,6540.6,537.91,21112.0,205
晨宇店,2026-05-01,五,40742.73,32159.93,8178.06,2177.87,21704.0,213
晨宇店,2026-05-02,六,37433.83,31207.43,6771.59,1675.84,22760.0,198
晨宇店,2026-05-03,日,42210.85,36171.65,4033.2,1102.45,30448.0,180
晨宇店,2026-05-04,一,32002.78,25401.68,4823.77,975.91,15584.0,196
晨宇店,2026-05-05,二,22349.76,18237.06,3986.0,625.06,12642.0,151
晨宇店,2026-05-06,三,18007.35,14141.25,3870.7,924.55,8856.0,132
晨宇店,2026-05-07,四,20882.44,16648.44,3039.0,456.44,10676.0,143
晨宇店,2026-05-08,五,20054.51,16256.71,2164.6,522.11,12982.0,137
晨宇店,2026-05-09,六,29494.12,23343.72,4726.42,1039.3,16892.0,181
晨宇店,2026-05-11,一,16593.67,11552.47,2507.2,861.67,7301.6,140
晨宇店,2026-05-12,二,19438.11,15438.61,4004.8,729.81,10018.0,137
晨宇店,2026-05-13,三,18560.14,15488.84,3564.14,433.9,10510.8,146
晨宇店,2026-05-14,四,18234.97,15506.87,4778.6,386.27,8850.0,142
晨宇店,2026-05-15,五,24241.86,18020.96,5439.6,1157.36,10738.0,178
